id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1018974608578342175,Central near DT! Fully-Equipped Kitchen+Fast Wi-Fi,243993091,Noemi,,District 2,32.79405,-96.77027,Entire home/apt,114,1,33,2024-06-16,4.76,39,264,33,
1019066401313381297,Urban Oasis: Modern DFW Getaway,464953039,Rowland,,District 12,33.00469,-96.86287,Entire home/apt,156,2,21,2024-06-14,2.85,1,230,21,
1019198502562028492,Serene Hideaway near Downtown|Uptown|Airport,433219492,Dazilli,,District 14,32.815542158502076,-96.81447668232941,Entire home/apt,70,28,2,2024-05-22,0.83,2,18,2,
1019525151721312466,Apartment in Dallas,448821569,Elizabeth,,District 2,32.79918471228334,-96.78113568587149,Entire home/apt,102,2,18,2024-04-19,2.44,1,139,18,
1019661577014658704,Boho Retreat Pool & HotTub 10PPL,26640141,Andrea,,District 6,32.9125729,-96.863505,Entire home/apt,377,3,2,2023-11-22,0.28,1,258,2,
1019731251097248073,Luxury Haven in Preston Hollow with Pool,35490428,Denise,,District 11,32.88658614122065,-96.78649239242077,Entire home/apt,400,31,1,2024-06-01,1,1,122,1,
1019745180763754867,Location and Comfort |Pool Table| Air Hockey,226738546,Daniel,,District 2,32.83873634202268,-96.8628903326233,Entire home/apt,207,4,19,2024-05-28,2.69,2,144,19,
1019835961320481457,Lovely Downtown Home,545474439,Tonsha,,District 2,32.77748594408535,-96.79021442986273,Private room,600,1,0,,,1,269,0,
1019955098854818954,Uptown  cute 2 bedroom apartment,487104587,R,,District 14,32.80613297958384,-96.76049846849456,Entire home/apt,112,3,2,2024-03-31,0.27,2,270,2,
1020135398389088199,Charming King 1BR | FREE Parking | W/D | NEW,108514926,Dalls,,District 14,32.78722,-96.79149,Entire home/apt,103,56,0,,,122,345,0,
1020340643887006351,New Modern 4BR Oasis @ Old East,491221445,Nova,,District 2,32.79352,-96.77099,Entire home/apt,267,30,0,,,4,269,0,
